No.,Acer Aspire A515-52,HP ENVY X360 Convertible
1,33.619412,28.802692
2,24.127343,32.041311
3,23.348929,29.272291
4,22.43909,39.508966
5,22.452001,29.71971
6,22.349267,29.995955
7,22.335245,29.577207
8,22.584602,23.659407
9,22.341586,28.426998
10,22.339355,29.218012
11,22.189381,28.90061
12,22.662209,28.910174
13,22.474807,28.724579
14,22.502018,28.610044
15,22.381194,28.164438
16,22.210439,28.343653
17,23.705993,28.095081
18,23.292566,28.026888
19,22.741566,26.573896
20,22.789906,26.573896
21,22.75967,28.048698
22,22.573983,28.399161
23,22.519193,27.73582
24,22.440932,27.43724
25,22.636267,28.491519
26,22.497456,27.881281
27,22.740491,27.916279
28,22.520748,27.694719
29,25.008743,27.759865
30,25.289941,27.960842
31,24.659036,27.520737
32,24.426064,27.447844
33,23.717765,27.733045
34,23.772726,28.045255
35,23.967873,28.352176
36,23.82394,28.031201
37,23.562323,27.006428
38,23.642557,27.802422
39,24.434305,27.546862
40,24.365892,27.50767
41,23.861206,27.667373
42,23.826746,27.459559
43,23.628503,27.433095
44,23.743567,27.660985
45,23.759397,27.95048
46,23.778484,26.632849
47,23.780566,27.290164
48,24.035216,27.538777
49,23.547383,27.943393
50,23.784352,27.447402
