No.,Geodesic,Haversine,Pythagoras
1,332.496502,7.661263,22.877216
2,334.291717,7.420203,22.658245
3,330.80832,7.459636,24.591534
4,329.191608,7.477269,23.051208
5,329.069511,8.621125,22.642835
6,329.331208,7.494387,23.269326
7,327.553154,7.482119,22.759967
8,330.156325,7.529134,23.713847
9,328.144928,7.405491,22.480711
10,328.6675,7.542108,22.544448
11,327.4438,7.499684,22.76167
12,327.554192,7.482155,22.91726
13,326.513773,7.477091,23.775805
14,328.856733,7.515887,22.347093
15,326.305515,7.475181,22.658274
16,328.180341,7.480881,22.569886
17,326.996774,7.511205,22.678305
18,326.733669,7.488725,23.723254
19,328.595251,7.51441,22.560538
20,326.951999,8.732318,22.52706
21,326.778706,7.543698,22.526453
22,327.380699,7.577156,22.478156
23,326.680944,7.485793,23.729305
24,326.433461,7.497758,22.638002
25,327.193542,7.483987,22.810554
26,325.464033,7.527654,22.80913
27,326.157942,7.60887,22.689048
28,327.021241,7.480988,23.603961
29,330.152841,7.432297,22.675927
30,329.646919,7.500975,22.589496
31,327.729837,7.53124,22.976681
32,330.600826,7.482399,22.898594
33,330.726323,7.452038,24.023378
34,329.892029,7.474365,22.662703
35,329.765362,8.679017,22.595201
36,328.678012,7.411657,22.647954
37,328.889034,7.395393,22.527644
38,327.991123,7.42684,23.517225
39,328.428712,7.422396,22.515264
40,327.112665,7.496724,22.839084
41,327.461823,7.461779,22.568175
42,326.881898,7.508072,22.479454
43,328.001394,7.538281,23.428504
44,327.719283,7.514444,22.482001
45,328.102302,7.512323,22.488551
46,326.989234,7.543386,22.579461
47,327.291293,7.529688,22.620835
48,328.823841,7.46122,23.363853
49,328.463823,7.474875,22.468072
50,327.363473,8.712155,22.630959
